[fastq]
sample1_tumor,/home/genomon/sample1_T_read1.fastq,/home/genomon/sample1_T_read2.fastq
sample1_normal,/home/genomon/sample1_N_read1.fastq,/home/genomon/sample1_N_read2.fastq
sample2_tumor,/home/genomon/sample2_T_read1.fastq,/home/genomon/sample2_T_read2.fastq
sample2_normal,/home/genomon/sampel2_N_read1.fastq,/home/genomon/sample2_N_read2.fastq
sample3_tumor,/home/genomon/sample3_T_read1.fastq,/home/genomon/sample3_T_read2.fastq
sample3_normal,/home/genomon/samptl3_N_read1.fastq,/home/genomon/sample3_N_read2.fastq

[mutation_call]
sample1_tumor,sample1_normal,panel1
sample2_tumor,sample2_normal,panel2
sample3_tumor,sample3_normal,panel3

[sv_detection]
sample1_tumor,sample1_normal,panel4
sample2_tumor,sample2_normal,panel4
sample3_tumor,sample3_normal,panel4

[control_panel]
panel1,sample2_normal,sample3_normal
panel2,sample1_normal,sample3_normal
panel3,sample1_normal,sample2_normal
panel4,sample1_normal,sample2_normal,sample3_normal

